Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2015,Rocky Mountain,CO,13777,4597,940,1243,1574,1641,1527,1374,881
2015,Rocky Mountain,ID,3372,1629,187,208,223,305,278,287,255
2015,Rocky Mountain,NM,1373,601,56,106,103,138,132,101,136
2015,Rocky Mountain,OK,1113,598,33,68,90,97,98,80,49
2015,Rocky Mountain,TX,13384,8071,615,753,875,952,900,701,517
2015,Rocky Mountain,UT,4144,2114,271,356,369,353,312,210,159
2015,Southeastern,AL,1564,652,58,78,112,160,156,164,184
2015,Southeastern,AR,421,234,16,27,32,36,25,23,28
2015,Southeastern,DC,1159,615,27,41,83,103,104,86,100
2015,Southeastern,FL,13276,8077,631,810,899,929,872,676,382
2015,Southeastern,GA,2080,442,174,289,306,301,255,188,125
2015,Southeastern,LA,511,276,18,15,27,34,37,45,59
2015,Southeastern,MD,9588,3951,603,988,1032,993,906,685,430
2015,Southeastern,MS,242,89,23,7,17,16,25,24,41
2015,Southeastern,NC,6730,3385,291,496,560,656,574,463,305
2015,Southeastern,SC,1914,1121,93,112,131,123,136,110,88
2015,Southeastern,TN,3662,1572,240,302,317,304,324,353,250
2015,Southeastern,VA,10291,4773,541,775,919,999,957,779,548
2015,All,USA,542583,178094,28979,43302,57893,63963,61918,55185,53249
2016,Atlantic,DE,993,312,97,111,128,97,87,90,71
2016,Atlantic,E PA,17365,6618,1487,1886,1873,1835,1503,1258,905
2016,Atlantic,NJ,19656,5527,1434,2186,2512,2494,2258,1911,1334
2016,Central,IL,31574,9201,1899,2884,3844,4333,4350,2940,2123
2016,Central,IA,3695,1105,223,275,328,429,434,438,463
2016,Central,KS,1633,882,96,88,125,154,122,100,66
2016,Central,MO,7804,1628,508,693,843,922,986,1098,1126
2016,Central,NE,2009,423,128,192,199,281,281,259,246
2016,Central,WI,19294,4217,692,989,2044,2565,2657,2730,3400
2016,Massachusetts,MA,49338,5162,2938,5177,7396,7863,7606,6572,6624
2016,Michigan,MI,50106,23307,2543,3448,4297,4410,4151,3759,4191
2016,Mid-American,IN,6379,2473,358,483,602,680,645,508,630
2016,Mid-American,KY,1583,783,83,104,129,125,133,119,107
2016,Mid-American,OH,15446,5445,897,1215,1655,1785,1733,1542,1174
2016,Mid-American,W PA,14600,3728,1116,1508,1686,1698,1646,1666,1552
2016,Mid-American,WV,1152,336,50,68,89,122,140,152,195
2016,Minnesota,MN,57179,9218,2107,3744,7287,8200,8621,8718,9284
