Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2013,Southeastern,MD,1023,347,51,99,140,137,112,81,56
2013,Southeastern,MS,21,9,0,0,1,3,1,4,3
2013,Southeastern,NC,436,190,15,29,37,46,44,38,37
2013,Southeastern,SC,57,21,4,4,5,5,5,8,5
2013,Southeastern,TN,148,52,5,15,17,19,13,11,16
2013,Southeastern,VA,704,268,31,57,74,86,77,62,49
2013,All,USA,67230,17643,3063,5191,7846,8930,8764,7540,8253
2014,Atlantic,DE,80,45,6,4,7,4,9,4,1
2014,Atlantic,E PA,1534,549,133,198,228,163,124,85,54
2014,Atlantic,NJ,1442,303,75,162,219,206,220,162,95
2014,Central,IL,2840,720,188,273,322,431,413,278,215
2014,Central,IA,304,79,17,34,30,36,28,32,48
2014,Central,KS,98,32,4,9,8,12,11,12,10
2014,Central,MO,560,154,28,27,46,73,77,78,77
2014,Central,NE,181,26,10,24,23,24,28,23,23
2014,Central,WI,3093,616,94,141,403,457,422,397,563
2014,Massachusetts,MA,10310,1549,503,979,1416,1558,1533,1298,1474
2014,Michigan,MI,4794,1860,275,400,465,447,476,397,474
2014,Mid-American,IN,496,123,24,28,43,54,66,58,100
2014,Mid-American,KY,126,51,11,10,10,10,12,8,14
2014,Mid-American,OH,1051,336,52,86,116,141,143,105,72
2014,Mid-American,W PA,1136,190,59,106,138,145,154,185,159
2014,Mid-American,WV,130,18,17,2,11,12,15,24,31
2014,Minnesota,MN,12808,1908,392,766,1610,2138,2103,1995,1896
2014,New England,CT,2423,323,114,187,325,401,384,327,362
2014,New England,ME,1089,181,55,108,154,164,131,124,172
2014,New England,NH,1105,193,82,112,149,130,157,118,164
2014,New England,RI,739,139,42,67,72,80,104,87,148
2014,New England,VT,1255,258,43,53,174,181,183,171,192
2014,New York,NY,5339,1075,243,522,644,754,702,633,766
2014,Northern Plains,MT,905,465,52,45,69,57,83,69,65
2014,Northern Plains,ND,1236,65,49,102,192,215,201,203,209
2014,Northern Plains,SD,465,28,41,60,63,69,62,69,73
2014,Northern Plains,WY,382,110,34,45,34,38,41,35,45
2014,Pacific,AK,1865,931,65,97,120,139,138,121,254
2014,Pacific,CA,2029,1062,76,142,161,177,165,142,104
2014,Pacific,HI,0,0,0,0,0,0,0,0,0
2014,Pacific,NV,72,31,2,7,4,11,7,5,5
2014,Pacific,OR,224,141,8,10,6,14,27,11,7
2014,Pacific,WA,938,532,27,42,52,77,66,60,82
2014,Rocky Mountain,AZ,508,197,20,34,40,49,47,50,71
2014,Rocky Mountain,CO,2193,1127,109,138,175,207,157,165,115
2014,Rocky Mountain,ID,696,352,31,48,46,57,60,50,52
2014,Rocky Mountain,NM,205,76,8,13,19,21,26,23,19
2014,Rocky Mountain,OK,37,14,2,6,2,5,5,1,2
2014,Rocky Mountain,TX,772,389,37,42,56,74,66,48,60
2014,Rocky Mountain,UT,427,240,21,45,28,41,19,19,14
2014,Southeastern,AL,118,39,2,6,5,9,15,15,27
2014,Southeastern,AR,28,11,1,2,0,2,3,4,5
2014,Southeastern,DC,179,84,6,8,10,20,26,13,12
2014,Southeastern,FL,676,371,20,44,50,64,66,38,23
2014,Southeastern,GA,152,60,6,9,16,14,17,14,16
2014,Southeastern,LA,39,20,1,0,3,3,4,3,5
2014,Southeastern,MD,1151,407,59,119,141,158,119,82,66
2014,Southeastern,MS,13,5,0,0,2,0,2,2,2
2014,Southeastern,NC,460,202,13,36,36,51,51,43,28
2014,Southeastern,SC,97,39,3,4,4,9,9,19,10
2014,Southeastern,TN,174,65,10,15,19,15,20,17,13
2014,Southeastern,VA,770,280,46,60,78,103,80,66,57
2014,All,USA,69744,18071,3216,5477,8044,9320,9077,7988,8551
2015,Atlantic,DE,81,41,1,9,6,7,6,7,4
2015,Atlantic,E PA,1658,530,123,249,185,202,196,112,61
2015,Atlantic,NJ,1460,303,72,163,214,213,220,162,113
2015,Central,IL,3005,763,190,296,350,436,423,286,261
2015,Central,IA,307,78,22,24,38,36,27,44,38
2015,Central,KS,99,29,8,6,11,12,21,8,4
2015,Central,MO,672,168,20,31,64,64,115,108,102
2015,Central,NE,182,25,15,16,21,27,31,21,26
2015,Central,WI,3271,589,86,157,385,445,442,490,677
2015,Massachusetts,MA,10527,1640,568,985,1446,1575,1499,1321,1493
2015,Michigan,MI,4984,1916,268,427,437,464,493,442,537
2015,Mid-American,IN,515,111,29,22,33,75,70,49,126
2015,Mid-American,KY,132,58,6,9,9,11,12,12,15
2015,Mid-American,OH,1084,344,49,89,117,143,126,115,101
2015,Mid-American,W PA,1221,212,66,110,152,152,162,173,194
2015,Mid-American,WV,137,30,6,5,14,10,24,24,24
2015,Minnesota,MN,13354,1939,405,755,1653,2105,2207,2104,2186
2015,New England,CT,2416,297,112,204,333,422,360,344,344
2015,New England,ME,1116,193,47,97,138,176,135,131,199
2015,New England,NH,1086,161,76,120,143,159,150,128,149
2015,New England,RI,739,112,47,63,70,87,96,93,171
2015,New England,VT,1334,305,37,54,184,176,176,169,233
2015,New York,NY,5666,1038,281,531,652,769,758,694,943
2015,Northern Plains,MT,948,481,49,58,62,71,78,67,82
2015,Northern Plains,ND,1351,59,64,106,211,177,246,250,238
2015,Northern Plains,SD,485,23,44,58,70,73,61,71,85
2015,Northern Plains,WY,405,115,35,35,37,36,42,45,60
2015,Pacific,AK,1935,936,64,95,111,147,156,159,267
2015,Pacific,CA,2287,1166,84,171,165,203,187,204,107
2015,Pacific,HI,0,0,0,0,0,0,0,0,0
2015,Pacific,NV,60,23,2,1,6,6,12,5,5
2015,Pacific,OR,265,154,11,10,14,24,25,15,12
2015,Pacific,WA,1092,524,33,48,66,89,95,115,122
2015,Rocky Mountain,AZ,535,194,24,29,47,51,53,54,83
2015,Rocky Mountain,CO,2275,1102,100,143,204,196,226,177,127
2015,Rocky Mountain,ID,674,326,19,59,52,59,59,50,50
2015,Rocky Mountain,NM,228,73,6,20,18,28,26,18,39
2015,Rocky Mountain,OK,41,15,2,5,5,6,3,4,1
2015,Rocky Mountain,TX,808,406,27,47,67,89,67,58,47
2015,Rocky Mountain,UT,503,264,35,39,51,41,33,18,22
2015,Southeastern,AL,126,43,4,5,5,12,14,14,29
2015,Southeastern,AR,29,12,2,0,0,6,1,2,6
2015,Southeastern,DC,196,80,5,8,10,29,14,21,29
2015,Southeastern,FL,727,380,22,45,75,81,51,49,24
2015,Southeastern,GA,151,58,6,11,20,20,13,6,17
2015,Southeastern,LA,51,17,0,1,3,7,3,6,14
2015,Southeastern,MD,1208,399,88,132,166,127,129,93,74
2015,Southeastern,MS,27,3,0,0,3,1,4,2,14
2015,Southeastern,NC,487,200,17,25,52,58,53,41,41
2015,Southeastern,SC,86,40,4,3,2,6,13,11,7
2015,Southeastern,TN,206,73,11,14,16,13,20,33,26
2015,Southeastern,VA,844,287,47,79,89,104,88,89,61
2015,All,USA,73076,18335,3339,5669,8282,9526,9521,8714,9690
2016,Atlantic,DE,107,40,8,7,11,10,9,8,14
2016,Atlantic,E PA,1623,512,124,225,198,183,165,126,90
2016,Atlantic,NJ,1640,317,90,144,186,254,229,231,189
2016,Central,IL,3097,777,200,281,376,453,444,298,268
2016,Central,IA,332,56,24,20,30,42,39,52,69
2016,Central,KS,96,29,5,6,8,13,13,14,8
2016,Central,MO,760,164,20,42,68,81,125,101,159
2016,Central,NE,221,33,17,17,18,32,31,38,35
2016,Central,WI,3555,642,94,168,382,446,488,546,789
2016,Massachusetts,MA,10693,1592,545,1060,1446,1552,1550,1381,1567
2016,Michigan,MI,5105,1869,283,379,428,497,484,504,661
2016,Mid-American,IN,495,118,17,25,48,61,64,40,122
2016,Mid-American,KY,125,61,3,9,8,10,13,11,10
2016,Mid-American,OH,1143,340,54,88,116,157,137,145,106
2016,Mid-American,W PA,1234,217,93,112,137,140,155,194,186
2016,Mid-American,WV,122,16,1,7,7,15,22,28,26
2016,Minnesota,MN,13580,1947,421,764,1617,2136,2259,2162,2274
2016,New England,CT,2427,302,110,221,360,410,369,335,320
2016,New England,ME,1211,156,58,84,160,189,147,153,264
2016,New England,NH,1107,136,73,107,133,163,144,171,180
2016,New England,RI,679,105,32,38,67,91,88,100,158
2016,New England,VT,1231,194,36,59,162,188,183,170,239
2016,New York,NY,5861,1063,288,507,700,733,760,760,1050
